DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION,BR_ID,BR_NAME
Regular,18103607,lopesbr15,,2024-11-12 11:25:47,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103607,lopesbr15,,2024-11-12 11:25:47,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075951,adiPUbr22,,2024-11-07 16:53:37,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075951,adiPUbr22,,2024-11-07 16:53:37,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075964,adibrrj61,,2024-11-07 16:55:39,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075964,adibrrj61,,2024-11-07 16:55:39,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
