DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION
Regular,18423377,batvin_vt13,,2025-01-01 20:40:00,",1292,1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18429191,Brab1616,,2025-01-02 18:48:36,",1291,1290,1020,1292,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18429200,Ma2505,,2025-01-02 18:49:29,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18436516,Soniah234,,2025-01-03 19:54:01,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18443592,Carloswx77,,2025-01-04 19:30:27,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434556,uesli67,,2025-01-03 13:10:53,",1343,1292,1020,1011,1016,1012,1291,1290,1017,1010,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18437827,ramdie_dr17,,2025-01-03 22:52:28,",1343,1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18426283,vitjoa_oa45,,2025-01-02 05:26:48,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18421859,Loganbog,,2025-01-01 16:24:50,",1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18437794,thezzinho95,,2025-01-03 22:48:39,",1343,1292,1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18420764,vazadr_dd15,,2025-01-01 12:00:55,",1291,1290,1292,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18423662,SalsaCannabi,,2025-01-01 21:23:23,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422199,Cleilson88,,2025-01-01 17:30:18,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18426898,andma19,,2025-01-02 09:16:18,",1290,1020,1291,1019,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18429870,lf1991,,2025-01-02 20:28:08,",1020,1290,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434629,debs1999,,2025-01-03 13:31:40,",1291,1020,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18441862,Dossantos31,,2025-01-04 13:22:45,",1020,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18442985,Ganjos1080,,2025-01-04 17:46:43,",1291,1020,1290,1343,1292,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18424898,Nandarocha,,2025-01-02 00:42:11,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18425207,alestud244,,2025-01-02 01:35:54,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18435734,raquel1590,,2025-01-03 17:36:10,",1291,1020,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18437806,Dihsabotage,,2025-01-03 22:50:12,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422160,Peres40,,2025-01-01 17:23:10,",1016,1010,1291,1011,1290,1017,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18440809,EDSONoliveir,,2025-01-04 07:24:46,",1020,1292,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18423094,erezuzubr,,2025-01-01 20:02:09,",1291,1290,1020,1019,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427690,olimar_wud,,2025-01-02 13:54:27,",1020,1291,1290,1343,1019,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427767,motdal_lo73,,2025-01-02 14:11:09,",1020,1291,1292,1343,1290,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
