PROCESSOR,DEPOSIT_COUNT,PCT,DEPOSIT_AMOUNT,AVERAGE_DEPOSIT,BIGGEST_DEPOSIT
PIX-SafeWay,174,99.4,21721,125,2000
House,1,0.6,1,1,1
